Organism	Is Reference Strain	Species	Species NCBI taxon ID	Strain	Strain NCBI taxon ID	Chromosomes	Supercontigs	Contigs	Genome Source	Genome Version/Assembly ID	Structural Annotation Source	Structural Annotation Version	EC#	Genes	GO terms	Non Protein coding genes	Orthologs	Protein coding genes	Pseudogenes
Naegleria gruberi strain NEG-M	yes	Naegleria gruberi	5762	strain NEG-M	744533	0	784	0	INSDC	GCA_000004985.1	INSDC	Dec 23, 2009	1012	16620	7555	911	15709	15709	3
Rhizophagus irregularis DAOM 181602=DAOM 197198	yes	Rhizophagus irregularis	588596	DAOM 181602=DAOM 197198	747089	33	0	0	GenBank	GCA_020716725.1	GenBank	Dec 02, 2021	N/A	26634	10313	89	26545	26545	0
Melampsora larici-populina 98AG31	yes	Melampsora larici-populina	203908	98AG31	747676	0	462	0	GenBank	GCA_000204055.1	GenBank	Mar 13, 2015	1105	16380	6198	8	16372	16372	8
Mucor lusitanicus CBS 277.49	yes	Mucor lusitanicus	29924	CBS 277.49	747725	0	21	0	GenBank	GCA_001638945.1	GenBank	May 6, 2016	N/A	11936	8137	229	11707	11707	1
Colletotrichum higginsianum IMI 349063	yes	Colletotrichum higginsianum	80884	IMI 349063	759273	11	14	0	INSDC	GCA_001672515.1	GenBank	Jun 21, 2016	1187	14651	9508	0	14651	14651	0
Phytophthora parasitica INRA-310	yes	Phytophthora parasitica	4792	INRA-310	761204	0	708	0	GenBank	GCA_000247585.2	GenBank	Mar 23, 2015	1435	23240	10599	119	23121	23121	0
Phycomyces blakesleeanus NRRL 1555(-)	yes	Phycomyces blakesleeanus	4837	NRRL 1555(-)	763407	0	80	0	GenBank	GCA_001638985.2	GenBank	May 9, 2016	2	16850	8806	308	16542	16542	0
Phytophthora capsici LT1534	yes	Phytophthora capsici	4784	LT1534	763924	0	782	0	INSDC	GCA_016618375.1	GenBank	Jan 12, 2021	5	28579	10194	5206	23373	23373	0
Aspergillus brasiliensis CBS 101740	yes	Aspergillus brasiliensis	319629	CBS 101740	767769	0	103	0	GenBank	GCA_001889945.1	GenBank	Dec 08, 2016	1492	13263	8673	274	12989	12989	0
Aspergillus tubingensis CBS 134.48	yes	Aspergillus tubingensis	5068	CBS 134.48	767770	0	33	0	GenBank	GCA_001890745.1	GenBank	Dec 07, 2016	1509	12592	8332	274	12318	12318	0
Sordaria macrospora k-hell	yes	Sordaria macrospora	5147	k-hell	771870	0	1212	0	GenBank	GCF_000182805.3	RefSeq	Apr 11, 2018	N/A	10407	6386	575	9832	9832	117
Cenococcum geophilum 1.58	yes	Cenococcum geophilum	5570	1.58	794803	0	268	0	GenBank	GCA_001692895.1	GenBank	Jul 26, 2016	790	14745	6380	38	14707	14707	0
Exophiala dermatitidis NIH/UT8656	yes	Exophiala dermatitidis	5970	NIH/UT8656	858893	0	10	0	INSDC	GCA_000230625.1	GenBank	Mar 17, 2015	1180	9356	6540	71	9285	9285	0
Leishmania major strain LV39c5	no	Leishmania major	5664	strain LV39c5	860569	36	773	0	GenBank	GCA_000331345.1	GeneDB	Jan 16, 2015	78	9101	4139	130	8971	8971	0
Leishmania major strain SD 75.1	no	Leishmania major	5664	strain SD 75.1	860570	0	36	0	GenBank	GCA_000250755.2	GeneDB	Jan 16, 2015	77	8931	4187	113	8818	8818	0
Theileria orientalis strain Shintoku	yes	Theileria orientalis	68886	strain Shintoku	869250	4	0	0	GenBank	GCA_000740895.1	GenBank	Sep 6, 2012	368	4058	2429	56	4002	4002	0
Encephalitozoon intestinalis ATCC 50506	yes	Encephalitozoon intestinalis	58839	ATCC 50506	876142	11	0	0	GenBank	GCA_000146465.1	GenBank	Oct 1, 2014	241	2011	1323	72	1939	1939	0
Epichloe festucae Fl1	yes	Epichloe festucae	35717	Fl1	877507	7	0	0	INSDC	GCA_003814445.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Nematocida parisii ERTm1	yes	Nematocida parisii	586133	ERTm1	881290	0	65	0	GenBank	GCA_000250985.1	GenBank	Mar 18, 2015	214	2724	1593	63	2661	2661	0
Entamoeba histolytica DS4-868	no	Entamoeba histolytica	5759	DS4-868	885310	0	1177	0	INSDC	GCA_018466815.1	n/a	n/a	N/A	N/A	N/A	0	N/A	0	0
Entamoeba histolytica KU27	no	Entamoeba histolytica	5759	KU27	885311	0	1796	0	GenBank	GCA_000338855.1	GenBank	Mar 19, 2015	607	7469	4678	14	7455	7455	0
Entamoeba histolytica KU48	no	Entamoeba histolytica	5759	KU48	885312	0	1168	0	INSDC	GCA_019059535.1	n/a	n/a	N/A	N/A	N/A	0	N/A	0	0
Entamoeba histolytica KU50	no	Entamoeba histolytica	5759	KU50	885313	0	1063	0	INSDC	GCA_020283535.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Entamoeba histolytica HM-3:IMSS	no	Entamoeba histolytica	5759	HM-3:IMSS	885315	0	1880	0	GenBank	GCA_000346345.1	GenBank	Mar 20, 2015	556	7362	4398	4	7358	7358	1
Entamoeba histolytica HM-1:IMSS-A	no	Entamoeba histolytica	5759	HM-1:IMSS-A	885318	0	1685	0	GenBank	GCA_000365475.1	GenBank	Mar 21, 2015	512	6328	3964	3	6325	6325	3
Entamoeba histolytica HM-1:IMSS-B	no	Entamoeba histolytica	5759	HM-1:IMSS-B	885319	0	1938	0	GenBank	GCA_000344925.1	GenBank	Mar 19, 2015	519	6301	3936	0	6301	6301	0
Albugo laibachii Nc14	yes	Albugo laibachii	653948	Nc14	890382	0	3827	0	Ensembl	Mar 02, 2016	Ensembl	Mar 02, 2016	837	14629	5570	180	13805	14449	644
Encephalitozoon hellem ATCC 50504	yes	Encephalitozoon hellem	27973	ATCC 50504	907965	12	0	0	GenBank	GCA_000277815.3	GenBank	Oct 01, 2014	242	2006	1328	78	1928	1928	0
Albugo candida 2VRR	yes	Albugo candida	65357	2VRR	911350	0	252	0	Saskatchewan	2014-05-13	Saskatchewan	2014-05-13	N/A	15896	4485	72	15824	15824	4
Trypanosoma cruzi JR cl. 4	no	Trypanosoma cruzi	5693	JR cl. 4	914063	0	560	14752	GenBank	GCA_000331405.1	n/a	n/a	N/A	N/A	N/A	0	N/A	0	0
Leishmania mexicana MHOM/GT/2001/U1103	yes	Leishmania mexicana	5665	MHOM/GT/2001/U1103	929439	34	0	554	GenBank	GCA_000234665.4	GeneDB	May 28, 2016	683	8677	6180	533	8144	8144	102
Toxoplasma gondii VAND	no	Toxoplasma gondii	5811	VAND	933077	0	2137	0	GenBank	GCA_000224845.2	GenBank	Aug 15, 2014	1542	9426	5556	171	9255	9255	0
Toxoplasma gondii RUB	no	Toxoplasma gondii	5811	RUB	935652	0	2424	0	GenBank	GCA_000224805.2	GenBank	Aug 13, 2014	1652	10213	5930	186	10027	10027	0
Nematocida parisii ERTm3	no	Nematocida parisii	586133	ERTm3	935791	0	53	0	GenBank	GCA_000190615.1	GenBank	Mar 13, 2015	213	2788	1594	62	2726	2726	0
Toxoplasma gondii MAS	no	Toxoplasma gondii	5811	MAS	943118	0	2180	0	GenBank	GCA_000224865.2	GenBank	Aug 15, 2014	1663	10176	5967	171	10005	10005	0
Toxoplasma gondii p89	no	Toxoplasma gondii	5811	p89	943119	0	2150	0	GenBank	GCA_000224885.2	GenBank	Aug 13, 2014	1630	9874	5801	173	9701	9701	0
Toxoplasma gondii TgCATBr9	no	Toxoplasma gondii	5811	TgCATBr9	943120	0	2452	0	GenBank	GCA_000224825.2	GenBank	Apr 20, 2018	1243	10007	5850	173	9834	9834	0
Toxoplasma gondii TgCATBr5	no	Toxoplasma gondii	5811	TgCATBr5	943121	0	0	6995	GenBank	GCA_000259835.1	GenBank	Aug 26, 2011	N/A	N/A	N/A	0	N/A	0	0
Toxoplasma gondii CAST	no	Toxoplasma gondii	5811	CAST	943122	0	2656	0	GenBank	GCA_000256705.2	GenBank	Dec 04, 2018	1541	9697	5667	200	9497	9497	0
Toxoplasma gondii FOU	no	Toxoplasma gondii	5811	FOU	943167	0	2869	0	GenBank	GCA_000224905.2	GenBank	Aug 13, 2014	1682	10297	6009	180	10117	10117	0
Vavraia culicis subsp. floridensis	yes	Vavraia culicis	103449	subsp. floridensis	948595	0	379	0	GenBank	GCA_000192795.1	GenBank	Mar 13, 2015	229	2825	1564	52	2773	2773	0
Leishmania donovani BPK282A1	yes	Leishmania donovani	5661	BPK282A1	981087	36	0	0	GenBank	GCA_000227135.2	GeneDB	May 28, 2016	190	8135	5913	166	7969	7969	54
Cordyceps militaris CM01	no	Cordyceps militaris	73501	CM01	983644	0	32	0	INSDC	GCA_000225605.1	GenBank	Mar 14, 2015	N/A	9651	6818	0	9651	9651	0
Plenodomus lingam JN3	yes	Plenodomus lingam	5022	JN3	985895	0	76	0	INSDC	GCA_000230375.1	GenBank	Feb 19, 2013	N/A	12609	6784	0	12609	12609	0
Encephalitozoon cuniculi EC1	no	Encephalitozoon cuniculi	6035	EC1	986730	12	0	0	GenBank	GCA_000221285.2	ubc	Sep 29, 2011	122	1898	1074	51	1847	1847	0
Encephalitozoon cuniculi EC2	no	Encephalitozoon cuniculi	6035	EC2	989654	16	0	0	GenBank	GCA_000221265.2	ubc	Sep 29, 2011	124	1902	1074	51	1851	1851	0
Encephalitozoon cuniculi EC3	no	Encephalitozoon cuniculi	6035	EC3	989655	15	0	0	GenBank	GCA_000221245.2	ubc	Sep 29, 2011	124	1898	1077	53	1845	1845	2
Vittaforma corneae ATCC 50505	yes	Vittaforma corneae	42399	ATCC 50505	993615	0	220	0	GenBank	GCA_000231115.1	GenBank	Mar 17, 2015	215	2293	1442	54	2239	2239	0
Sporisorium reilianum SRZ2	yes	Sporisorium reilianum	72558	SRZ2	999809	23	0	21	GenBank	GCA_000230245.1	GenBank	Feb 27, 2015	923	6791	4886	118	6673	6673	0
Aedes aegypti Aag2	no	Aedes aegypti	7159	Aag2	N/A	0	3752	0	INSDC	GCA_021653915.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Aedes aegypti LVP_AGWG	yes	Aedes aegypti	7159	LVP_AGWG	N/A	3	2306	0	INSDC	GCA_002204515.1	VectorBase	AaegL5.3	1499	19804	11097	5086	14718	14718	382
Aedes albopictus C6/36 cell line	no	Aedes albopictus	7160	C6/36 cell line	N/A	0	2434	0	INSDC	GCF_001876365.2	RefSeq	Feb 03, 2017	614	38743	18412	10105	28638	28638	885
Aedes albopictus Foshan FPA	yes	Aedes albopictus	7160	Foshan FPA	N/A	0	2196	0	INSDC	GCA_006496715.1	RefSeq	AalbFP1.0	1793	40481	17033	13638	26843	26843	4108
Aedes albopictus Foshan	no	Aedes albopictus	7160	Foshan	N/A	0	154782	0	INSDC	GCA_001444175.1	VectorBase	AaloF1.2	1226	18294	12087	759	17535	17535	0
Anopheles albimanus STECLA	no	Anopheles albimanus	7167	STECLA	N/A	5	196	0	INSDC	GCA_000349125.2	VectorBase	AalbS2.8	653	12616	8568	322	12294	12294	0
Anopheles albimanus STECLA 2020	yes	Anopheles albimanus	7167	STECLA 2020	N/A	3	4	0	INSDC	GCF_013758885.1	RefSeq	Aug 22, 2020	10	12945	8193	1380	11565	11565	180
Alternaria alternata SRC1lrK2f	yes	Alternaria alternata	5599	SRC1lrK2f	N/A	0	79	0	INSDC	GCA_001642055.1	GenBank	May 11, 2016	1120	13577	8692	111	13466	13466	5
Anopheles aquasalis AaquGF1	yes	Anopheles aquasalis	42839	AaquGF1	N/A	4	86	0	INSDC	GCF_943734665.1	RefSeq	Aug 24, 2022	16	12989	7618	1478	11511	11511	112
Anopheles arabiensis DONGOLA 2021	yes	Anopheles arabiensis	7173	DONGOLA 2021	N/A	3	98	0	INSDC	GCF_016920715.1	RefSeq	Mar 25, 2021	9	15763	8919	3162	12601	12601	474
Anopheles arabiensis Dongola	no	Anopheles arabiensis	7173	Dongola	N/A	0	1214	0	INSDC	GCA_000349185.1	VectorBase	AaraD1.12	782	13649	9273	378	13271	13271	0
Aphanomyces astaci strain APO3	yes	Aphanomyces astaci	112090	strain APO3	N/A	0	835	0	GenBank	GCA_000520075.1	GenBank	Jan 14, 2014	1389	19584	10477	465	19119	19119	0
Acanthamoeba astronyxis Unknown	yes	Acanthamoeba astronyxis	65658	Unknown	N/A	0	98248	0	GenBank	GCA_000826245.1	GenBank	n/a	N/A	N/A	N/A	0	N/A	0	0
Anopheles atroparvus EBRO	yes	Anopheles atroparvus	41427	EBRO	N/A	5	1315	0	INSDC	GCA_000473505.1	VectorBase	AatrE3.2	1342	14041	9308	323	13717	13718	0
Anopheles bellator AbelBR1	yes	Anopheles bellator	139047	AbelBR1	N/A	3	2982	0	INSDC	GCF_943735745.2	RefSeq	Jul 17, 2023	N/A	11682	7486	456	11226	11226	34
Acanthamoeba castellanii C3	no	Acanthamoeba castellanii	5755	C3	N/A	0	174	0	INSDC	GCA_021020595.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Acanthamoeba castellanii Ma	no	Acanthamoeba castellanii	5755	Ma	N/A	0	221748	0	GenBank	GCA_000826485.1	GenBank	n/a	N/A	N/A	N/A	0	N/A	0	0
Acanthamoeba castellanii str. Neff 2021	no	Acanthamoeba castellanii	5755	str. Neff 2021	N/A	0	111	0	INSDC	GCA_021020605.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Anopheles christyi ACHKN1017	yes	Anopheles christyi	43041	ACHKN1017	N/A	0	30369	0	INSDC	GCA_000349165.1	VectorBase	AchrA1.8	1184	11209	7672	337	10872	10872	0
Anopheles coluzzii AcolN3	yes	Anopheles coluzzii	1518534	AcolN3	N/A	3	125	0	INSDC	GCF_943734685.1	RefSeq	Jul 26, 2022	12	14616	8910	2193	12410	12423	218
Anopheles coluzzii MOPTI	no	Anopheles coluzzii	1518534	MOPTI	N/A	3	196	0	INSDC	GCF_016920705.1	RefSeq	Mar 25, 2021	7	14553	8432	1961	12592	12592	206
Anopheles coluzzii Mali-NIH	no	Anopheles coluzzii	1518534	Mali-NIH	N/A	0	10521	0	INSDC	GCA_000150765.1	VectorBase	AcolM1.8	774	14796	9416	331	14464	14465	0
Anopheles coluzzii Ngousso	no	Anopheles coluzzii	1518534	Ngousso	N/A	0	205	0	INSDC	GCA_004136515.2	VectorBase	AcolN1.2	790	13235	9880	469	12766	12766	0
Anopheles coustani AcouGA1	yes	Anopheles coustani	139045	AcouGA1	N/A	3	416	0	INSDC	GCF_943734705.1	RefSeq	Jul 19, 2023	N/A	14493	7917	2461	12032	12032	221
Aspergillus cristatus GZAAS20.1005	yes	Aspergillus cristatus	573508	GZAAS20.1005	N/A	0	68	0	INSDC	GCA_001717485.1	GenBank	Aug 31, 2016	1034	10344	7180	0	10344	10344	0
Anopheles cruzii AcruBR1	yes	Anopheles cruzii	68878	AcruBR1	N/A	3	5085	0	INSDC	GCF_943734635.1	RefSeq	Feb 23, 2023	N/A	12401	7824	560	11841	11841	108
Acanthamoeba sp Galka	yes	Acanthamoeba sp.	5756	Galka	N/A	0	224137	0	GenBank	GCA_000826505.1	GenBank	n/a	N/A	N/A	N/A	0	N/A	0	0
Acanthamoeba sp Incertae sedis	no	Acanthamoeba sp.	5756	Incertae_sedis	N/A	0	24098	0	GenBank	GCA_000826365.1	GenBank	n/a	N/A	N/A	N/A	0	N/A	0	0
Acanthamoeba sp T4b-type	no	Acanthamoeba sp.	5756	T4B-type	N/A	0	224482	0	GenBank	GCA_000826345.1	GenBank	n/a	N/A	N/A	N/A	0	N/A	0	0
Anopheles culicifacies A-37	yes	Anopheles culicifacies	139723	A-37	N/A	0	16162	0	INSDC	GCA_000473375.1	VectorBase	AculA1.7	1415	14729	9584	371	14358	14358	0
Acanthamoeba culbertsoni A1	yes	Acanthamoeba culbertsoni	43142	A1	N/A	0	72411	0	GenBank	GCA_000826265.1	GenBank	n/a	N/A	N/A	N/A	0	N/A	0	0
Anopheles darlingi AdarGF1	yes	Anopheles darlingi	43151	AdarGF1	N/A	3	62	0	INSDC	GCF_943734745.1	RefSeq	Jul 28, 2022	2	12393	7883	1171	11222	11222	52
Anopheles darlingi Coari	no	Anopheles darlingi	43151	Coari	N/A	0	2220	0	INSDC	GCA_000211455.3	VectorBase	AdarC3.9	728	11005	8244	449	10556	10556	0
Angomonas deanei strain Cavalho ATCC PRA-265	yes	Angomonas deanei	59799	strain Cavalho ATCC PRA-265	N/A	29	0	0	INSDC	GCA_903995115.1	GenBank	Aug 18, 2020	609	10512	4131	147	10365	10365	0
Anopheles dirus WRAIR2	yes	Anopheles dirus	7168	WRAIR2	N/A	0	1266	0	INSDC	GCA_000349145.1	VectorBase	AdirW1.9	1325	13250	8738	325	12924	12925	0
Anopheles epiroticus Epiroticus2	yes	Anopheles epiroticus	199890	Epiroticus2	N/A	0	2673	0	INSDC	GCA_000349105.1	VectorBase	AepiE1.8	1319	12322	8633	366	11956	11956	0
Aphanomyces euteiches MF1	yes	Aphanomyces euteiches	100861	MF1	N/A	0	7789	0	INSDC	GCA_021527665.1	GenBank	Jan 19, 2022	2	21894	10989	0	21894	21894	0
Anopheles farauti FAR1	yes	Anopheles farauti	69004	FAR1	N/A	0	310	0	INSDC	GCA_000473445.2	VectorBase	AfarF2.7	1347	13293	9061	361	12932	12932	0
Arthrobotrys flagrans CBS H-5679	yes	Arthrobotrys flagrans	97331	CBS H-5679	N/A	0	14	0	INSDC	GCA_004000055.1	GenBank	Jan 08, 2019	915	9927	6195	30	9897	9897	0
Aspergillus flavus NRRL3357 2020	no	Aspergillus flavus	5059	NRRL3357 2020	N/A	8	0	0	INSDC	GCA_009017415.1	GenBank	Feb 02, 2021	1271	13958	8880	249	13709	13709	3
Anopheles funestus AfunGA1	yes	Anopheles funestus	62324	AfunGA1	N/A	3	326	0	INSDC	GCF_943734845.2	RefSeq	Jul 14, 2022	14	14819	8245	2727	12092	12092	447
Anopheles funestus FUMOZ	no	Anopheles funestus	62324	FUMOZ	N/A	3	0	0	INSDC	GCA_003951495.1	VectorBase	AfunF3.3	788	14176	9944	1082	13094	13094	0
Anopheles gambiae Ifakara	no	Anopheles gambiae	7165	Ifakara	N/A	3	187	0	INSDC	GCF_943734735.2	RefSeq	Dec 19, 2023	N/A	15165	8734	2646	12519	12519	362
Anopheles gambiae Pimperena	no	Anopheles gambiae	7165	Pimperena	N/A	0	13042	0	INSDC	GCA_000150785.1	VectorBase	AgamS2	N/A	N/A	N/A	0	N/A	0	0
Aphanomyces invadans NJM9701	yes	Aphanomyces invadans	157072	NJM9701	N/A	0	481	0	GenBank	GCA_000520115.1	GenBank	Jan 15, 2014	1300	15416	9228	168	15248	15248	0
Aspergillus lentulus strain IFM 54703	yes	Aspergillus lentulus	293939	strain IFM 54703	N/A	0	12	0	INSDC	GCA_001445615.2	GenBank	Nov 13, 2015	1	9916	7182	259	9657	9657	0
Acanthamoeba lenticulata PD2S	yes	Acanthamoeba lenticulata	29196	PD2S	N/A	0	79048	0	GenBank	GCA_000826285.1	GenBank	n/a	N/A	N/A	N/A	0	N/A	0	0
Antonospora locustae CLX	yes	Antonospora locustae	278021	CLX	N/A	17	1	0	INSDC	GCA_007674295.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Acanthamoeba lugdunensis L3a	yes	Acanthamoeba lugdunensis	61605	L3a	N/A	0	67459	0	GenBank	GCA_000826425.1	GenBank	n/a	N/A	N/A	N/A	0	N/A	0	0
Anopheles maculipalpis AmacGA1	yes	Anopheles maculipalpis	1496333	AmacGA1	N/A	3	167	0	INSDC	GCF_943734695.1	RefSeq	Aug 22, 2022	1	12929	7625	1396	11533	11533	344
Amblyomma maculatum SK-2019	yes	Amblyomma maculatum	34609	SK-2019	N/A	0	125877	0	INSDC	GCA_023969395.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Anopheles maculatus maculatus3	yes	Anopheles maculatus	74869	maculatus3	N/A	0	47797	0	INSDC	GCA_000473185.1	VectorBase	AmacM1.6	1314	15035	9327	177	14858	14858	0
Anopheles marshallii AmarGA1	yes	Anopheles marshallii	1521116	AmarGA1	N/A	3	285	0	INSDC	GCF_943734725.1	GenBank	Feb 24, 2023	N/A	13358	7684	1638	11720	11720	437
Acanthamoeba mauritaniensis 1652	yes	Acanthamoeba mauritaniensis	196912	1652	N/A	0	67233	0	GenBank	GCA_000826465.1	GenBank	n/a	N/A	N/A	N/A	0	N/A	0	0
Anopheles melas CM1001059_A	yes	Anopheles melas	34690	CM1001059_A	N/A	0	20229	0	INSDC	GCA_000473525.2	VectorBase	AmelC2.7	1444	15777	10033	410	15367	15367	0
Anopheles merus MAF	no	Anopheles merus	30066	MAF	N/A	0	2027	0	INSDC	GCA_000473845.2	VectorBase	AmerM2.10	727	13578	8890	428	13149	13150	0
Anopheles merus MAF 2021	yes	Anopheles merus	30066	MAF 2021	N/A	5	1322	0	INSDC	GCF_017562075.2	RefSeq	Jun 02, 2021	15	16199	9406	2405	13794	13794	411
Anopheles minimus MINIMUS1	yes	Anopheles minimus	112268	MINIMUS1	N/A	0	678	0	INSDC	GCA_000349025.1	VectorBase	AminM1.9	1323	13148	8654	328	12820	12820	0
Apiotrichum montevideense JCM 9937	yes	Apiotrichum montevideense	82521	JCM 9937	N/A	0	61	0	INSDC	GCA_001598995.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Anopheles moucheti AmouCM1	yes	Anopheles moucheti	186751	AmouCM1	N/A	3	342	0	INSDC	GCF_943734755.1	RefSeq	Feb 23, 2023	1	14269	7681	2384	11885	11885	582
Amauroascus mutatus isolate UAMH 3576	yes	Amauroascus mutatus	113399	isolate UAMH 3576	N/A	0	0	3075	GenBank	GCA_001430935.1	n/a	n/a	N/A	N/A	N/A	0	N/A	0	0
Aspergillus niger strain LDM3	no	Aspergillus niger	5061	strain LDM3	N/A	0	14	0	INSDC	GCA_009812365.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Aspergillus niger strain N402 (ATCC64974)	no	Aspergillus niger	5061	strain N402 (ATCC64974)	N/A	0	0	19	GenBank	GCA_900248155.1	GenBank	Jan 26, 2018	1544	11187	8424	0	11187	11187	0
Amauroascus niger isolate UAMH 3544	yes	Amauroascus niger	89421	isolate UAMH 3544	N/A	0	0	3481	GenBank	GCA_001430945.1	n/a	n/a	N/A	N/A	N/A	0	N/A	0	0
Anopheles nili AnilCM1	yes	Anopheles nili	185578	AnilCM1	N/A	3	153	0	INSDC	GCF_943737925.1	GenBank	Feb 24, 2023	1	12354	7336	1345	11009	11009	121
Acanthamoeba palestinensis Reich	yes	Acanthamoeba palestinensis	28015	Reich	N/A	0	26188	0	GenBank	GCA_000826305.1	GenBank	n/a	N/A	N/A	N/A	0	N/A	0	0
Aspergillus parasiticus CBS 117618	yes	Aspergillus parasiticus	5067	CBS 117618	N/A	0	270	0	INSDC	GCA_009176385.1	GenBank	Oct 23, 2019	1279	14005	9842	253	13752	13752	4
Anopheles quadriannulatus SANGWE	yes	Anopheles quadriannulatus	34691	SANGWE	N/A	0	2823	0	INSDC	GCA_000349065.1	VectorBase	AquaS1.13	1357	13818	9369	404	13414	13414	0
Acanthamoeba quina Vil3	yes	Acanthamoeba quina	211522	Vil3	N/A	0	60490	0	GenBank	GCA_000826445.1	GenBank	n/a	N/A	N/A	N/A	0	N/A	0	0
Acanthamoeba rhysodes Singh	yes	Acanthamoeba rhysodes	32599	Singh	N/A	0	62836	0	GenBank	GCA_000826385.1	GenBank	n/a	N/A	N/A	N/A	0	N/A	0	0
Anopheles sinensis China	yes	Anopheles sinensis	74873	China	N/A	0	9592	0	INSDC	GCA_000441895.2	VectorBase	AsinC2.2	716	19694	9834	342	19352	19352	0
Anopheles sinensis SINENSIS	no	Anopheles sinensis	74873	SINENSIS	N/A	0	10448	0	INSDC	GCA_000472065.2	VectorBase	AsinS2.6	686	13206	8461	301	12905	12905	0
Anopheles stephensi Indian	no	Anopheles stephensi	30069	Indian	N/A	0	23371	0	INSDC	GCA_000300775.2	VectorBase	AsteI2.3	734	12189	8395	400	11789	11789	0
Anopheles stephensi SDA-500	no	Anopheles stephensi	30069	SDA-500	N/A	0	1110	0	INSDC	GCA_000349045.1	VectorBase	AsteS1.8	743	13611	8677	275	13336	13336	0
Anopheles stephensi UCISS2018	yes	Anopheles stephensi	30069	UCISS2018	N/A	3	491	0	INSDC	GCF_013141755.1	RefSeq	Sep 08, 2020	13	15431	8484	2726	12705	12705	207
Aspergillus tanneri NIH1004	yes	Aspergillus tanneri	1220188	NIH1004	N/A	0	1715	0	INSDC	GCA_004798825.1	GenBank	Apr 17, 2019	1015	13590	7887	33	13557	13557	33
Aspergillus thermomutatus strain HMR AF 39	yes	Aspergillus thermomutatus	41047	strain HMR AF 39	N/A	0	647	0	INSDC	GCA_002237265.2	GenBank	Sep 12, 2018	1374	9702	7042	0	9702	9702	0
Acanthamoeba triangularis SH621	yes	Acanthamoeba triangularis	146752	SH621	N/A	0	56742	0	GenBank	GCA_000826325.1	GenBank	n/a	N/A	N/A	N/A	0	N/A	0	0
Apophysomyces variabilis NCCPF 102052	yes	Apophysomyces variabilis	760013	NCCPF 102052	N/A	0	411	0	INSDC	GCA_002749535.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Anopheles ziemanni AzieGA1	yes	Anopheles ziemanni	345580	AzieGA1	N/A	3	416	0	INSDC	GCF_943734765.1	RefSeq	Jul 21, 2023	N/A	14085	7819	2294	11791	11791	211
Blechomonas ayalai B08-376	yes	Blechomonas ayalai	1463230	B08-376	N/A	0	545	0	GenBank	GCA_020509355.1	YurchenkoLab	Jan 18, 2017	N/A	8126	3589	84	8042	8042	0
Beauveria bassiana HN6	yes	Beauveria bassiana	176275	HN6	N/A	12	0	0	INSDC	GCA_014607475.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Besnoitia besnoiti strain Bb-Ger1	yes	Besnoitia besnoiti	94643	strain Bb-Ger1	N/A	13	0	172	GenBank	GCA_002563875.1	GenBank	Oct 18, 2017	711	8550	5080	326	8224	8224	0
Babesia bigemina strain BOND	yes	Babesia bigemina	5866	strain BOND	N/A	5	478	0	GenBank	GCA_000723445.1	GenBank	Jan 22, 2015	371	5090	2937	11	5079	5079	11
Babesia caballi USDA-D6B2	yes	Babesia caballi	5871	USDA-D6B2	N/A	0	7	0	INSDC	GCA_024862765.1	GenBank	Jul 22, 2022	N/A	5991	1736	81	5910	5910	0
Byssoonygena ceratinophila isolate UAMH 5669	yes	Byssoonygena ceratinophila	166112	isolate UAMH 5669	N/A	0	0	4851	GenBank	GCA_001430925.1	n/a	n/a	N/A	N/A	N/A	0	N/A	0	0
Babesia divergens strain 1802A	yes	Babesia divergens	32595	strain 1802A	N/A	0	79	0	GenBank	GCA_018398725.1	Sanger	Oct 31, 2021	2	4187	1886	58	4129	4129	8
Babesia divergens strain Rouen 1987	no	Babesia divergens	32595	strain Rouen 1987	N/A	0	141	0	GenBank	GCA_001077455.2	n/a	n/a	N/A	N/A	N/A	0	N/A	0	0
Babesia duncani strain WA1	no	Babesia duncani	323732	strain WA1	N/A	0	7	0	INSDC	GCA_024586265.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Babesia duncani strain WA1 2023	yes	Babesia duncani	323732	strain WA1 2023	N/A	5	160	0	INSDC	GCA_028658345.1	GenBank	Sep 25, 2023	N/A	4222	1934	52	4170	4170	0
Biomphalaria glabrata BB02	no	Biomphalaria glabrata	6526	BB02	N/A	0	331400	0	INSDC	GCA_000457365.1	VectorBase	BglaB1.7	1228	31985	16656	6424	25550	25561	174
Biomphalaria glabrata XG47	yes	Biomphalaria glabrata	6526	XG47	N/A	18	25	0	INSDC	GCF_947242115.1	GenBank	May 10, 2023	2	26406	13132	4400	22006	22006	219
